314,Supplemental,307
312,Hydronauts,307
356,Turaga,324
207,Advent,206
483,Guardians of the Galaxy,482
346,Supplemental,324
408,LEGO Brand Store,
61,Police,52
78,Hospital,67
383,Wooden Box Set,365
26,Construction,23
250,Prisoner of Azkaban,246
337,Matoran of Voya Nui,324
7,Construction,5
59,Harbor,52
290,Town,279
362,Toa Okoto,324
409,Monthly Mini Model Build,408
18,Star Wars,1
517,Learning,507
79,Off-Road,67
561,The Hobbit and Lord of the Rings,
175,Star Wars Episode 2,171
10,Harbor,5
280,Jack Stone,279
51,Arctic,50
222,Clikits,217
226,Friends,217
338,Mistika,324
273,Studios,
486,Justice League,482
587,Series 7,580
635,Winnie the Pooh,504
655,Powered Up,438
631,Thomas & Friends,504
510,Boat,507
477,Indians,475
24,Airport,23
474,Vikings,
626,Bob the Builder,504
9,Fire,5
387,Discovery,
577,Minecraft,
93,Space Port,50
183,Star Wars Expanded Universe,158
674,Early Creator,22
560,Universe,
350,Toa Hordika,324
462,Soccer,458
539,Series 4 Minifigures,535
562,The Hobbit,561
672,Creator 3-in-1,22
377,Harbor,373
223,Creator,217
84,Supplemental,67
191,Dark Forest,186
652,Playhouse,504
272,SpongeBob SquarePants,
583,Series 3,580
231,Thanksgiving,206
355,Tohunga,324
109,Food & Drink,105
118,Speed Racer,112
171,Ultimate Collector Series,158
440,Primo,
39,Traffic,38
146,Galaxy Squad,126
233,Train,
419,Harbor,411
335,Matoran of Mata Nui,324
535,Collectible Minifigures,
209,Star Wars,207
540,Series 5 Minifigures,535
35,Cargo,23
571,Legends of Chima,
545,Series 10 Minifigures,535
475,Western,
325,Agori,324
654,The Powerpuff Girls,
664,Toolo,504
87,Extreme Team,50
367,Building,365
286,Pirates,279
265,Kingdom of the Crystal Skull,264
675,The LEGO Movie Series II,535
308,Aquanauts,307
330,Bohrok-Kal,324
589,Series 9,580
264,Indiana Jones,
602,Jurassic World,
448,Fabuland,443
94,Town Jr.,50
116,Power Racers,112
285,Gas Station,280
427,Holiday,425
210,Belville,207
512,Castle,507
36,Fire,23
60,Hospital,52
58,Fire,52
636,My Town,632
16,RoboRiders,1
54,Cargo,52
247,Chamber of Secrets,246
502,Game,501
661,Little Robots,504
302,Agents,
110,Harbor,105
323,Recreation,318
546,Team GB,535
326,Barraki,324
511,Building Set with People,507
363,Boat,
665,Western,504
430,Pirates,425
458,Sports,
83,Recreation,67
420,Hospital,411
320,Golden Land,318
573,Constraction,571
132,Futuron,126
418,Gas Station,411
368,HO 1:87 Vehicles,365
122,Williams F1,112
252,Architecture,
238,My Own Train,236
468,Basic Model,465
639,Sofia the First,504
90,Paradisa,50
500,Clikits,
536,Series 1 Minifigures,535
254,Bulk Bricks,
663,Rattles,504
576,LEGO Ideas and CUUSOO,
666,Zooters,504
370,Mosaic,365
32,Robot,23
490,Iron Man,482
224,Pirates,217
5,Model,1
81,Post Office,67
12,Race,5
620,Jurassic World: Fallen Kingdom,591
128,Blacktron I,126
49,Mecha,22
98,Fire,94
136,M:Tron,126
261,Star Wars,258
358,Visorak,324
235,4.5V,233
608,Disney,
653,DC Comics,504
160,Star Wars Clone Wars,159
506,Cars,504
443,Service Packs,
189,Classic Castle,186
480,Znap,
543,Series 8 Minifigures,535
251,Sorcerer's Stone,246
677,Disney Series 2,535
85,Traffic,67
138,RoboForce,126
15,Traffic,5
255,Castle,254
498,Technic,497
40,Creature,38
269,Cars,
257,Train,254
43,Building,38
19,Supplemental,1
234,12V,233
88,Launch Command,50
133,Ice Planet 2002,126
388,Disney's Mickey Mouse,
173,Star Wars Episode 3,171
497,Books,
17,Speed Slammers,1
227,Christmas,206
317,Avatar,
292,Traffic,290
332,Glatorian Legends,324
112,Racers,
240,RC Train,233
374,Airport,373
281,Police,280
185,Star Wars Rogue One,158
438,Power Functions,
594,Fantasy,591
673,Creator Expert,22
478,X-Pod,
208,City,207
357,Vahki,324
390,Fabuland,
455,Classic Town,454
13,Riding Cycle,5
319,Fairy-Tale,318
513,Classic,507
529,Technic,507
509,Adventurers,507
158,Star Wars,
111,Police,105
431,Star Wars,425
599,LEGO Exclusive,
105,World City,50
145,Unitron,126
359,Warriors,324
277,Mosaic,276
284,Traffic,280
115,Lamborghini,112
668,Scala,
389,Exo-Force,
44,Recreation,38
638,Jake and the Never Land Pirates,504
125,Xalax,112
199,Lion Knights,186
473,Supplemental,465
300,Orient Expedition,296
14,Robot,5
669,Overwatch,
57,Farm,52
97,Construction,94
354,Toa Nuva,324
527,Space,507
68,Airport,67
531,eLAB,529
186,Castle,
